TIEMPO,VOLTAJE
0,1.703603
0.001,1.701991
0.002,1.697157
0.003,1.706825
0.004,1.704408
0.005,1.702797
0.006000001,1.704408
0.007,1.702797
0.008000001,1.705214
0.009,1.704408
0.01,1.705214
0.011,1.692323
0.012,1.710048
0.013,1.820426
0.014,1.657679
0.015,1.663319
0.016,1.660096
0.017,1.641515
0.018,1.677821
0.019,1.640709
0.02,1.647155
0.021,1.651234
0.022,1.660096
0.023,1.66493
0.024,1.645544
0.025,1.665736
0.026,1.651234
0.027,1.653651
0.028,1.643932
0.029,1.654456
0.03,1.65929
0.031,1.650428
0.032,1.656873
0.033,1.713271
0.034,1.654456
0.035,1.657679
0.03599999,1.634264
0.03699999,1.66493
0.03799999,1.656873
0.03899999,1.652845
0.03999999,1.661707
0.04099998,1.652039
0.04199998,1.660902
0.04299998,1.665736
0.04399998,1.665736
0.04499998,1.667347
0.04599998,1.612511
0.04699997,1.656873
0.04799997,1.666541
0.04899997,1.664124
0.04999997,1.665736
0.05099997,1.743886
0.05199997,1.685878
0.05299997,1.690712
0.05399997,1.668153
0.05499996,1.67057
0.05599996,1.677821
0.05699996,1.685072
0.05799995,1.687489
0.05899996,1.681044
0.05999995,1.685878
0.06099996,1.690712
0.06199995,1.686683
0.06299995,1.697157
0.06399995,1.691517
0.06499995,1.70038
0.06599996,1.696352
0.06699996,1.695546
0.06799996,1.709242
0.06899996,1.713271
0.06999996,1.771279
0.07099997,1.712465
0.07199997,1.70602
0.07299996,1.779336
0.07399997,1.713271
0.07499998,1.728579
0.07599998,1.802701
0.07699997,1.730996
0.07799998,1.739052
0.07899999,1.783365
0.07999998,1.743081
0.08099998,1.732607
0.08199999,1.722939
0.08299999,1.814786
0.084,1.73019
0.08499999,1.739858
0.08599999,1.767251
0.087,1.802701
0.088,1.729384
0.089,1.749526
0.09,1.756777
0.091,1.751943
0.09200001,1.847819
0.09300001,1.755972
0.09400002,1.762417
0.09500002,1.771279
0.09600001,1.802701
0.09700002,1.859954
0.09800002,1.883319
0.09900002,1.793838
0.1,1.796255
0.101,1.809146
0.102,1.837345
0.103,1.869622
0.104,1.908295
0.105,1.931659
0.106,1.847819
0.107,1.851847
0.108,1.856731
0.109,1.832511
0.11,1.887347
0.111,1.899432
0.112,1.89621
0.113,1.949384
0.1140001,1.95019
0.1150001,1.976777
0.1160001,1.993696
0.1170001,2.007393
0.1180001,2.014644
0.1190001,1.976777
0.1200001,1.962275
0.1210001,1.953413
0.1220001,1.963886
0.1230001,1.95583
0.1240001,2.02109
0.1250001,1.966303
0.1260001,1.981611
0.1270001,2.018672
0.1280001,2.062179
0.1290001,2.050094
0.1300001,2.073509
0.1310001,2.075926
0.1320001,2.08076
0.1330001,2.085594
0.1340001,2.074314
0.1350001,2.079149
0.1360001,2.062179
0.1370001,2.079954
0.1380001,2.085594
0.1390001,2.083982
0.1400001,2.087205
0.1410001,2.092039
0.1420001,2.0864
0.1430001,2.089622
0.1440001,2.105736
0.1450001,2.112181
0.1460001,2.109764
0.1470001,2.112181
0.1480001,2.121044
0.1490001,2.119432
0.1500001,2.133934
0.1510001,2.144408
0.1520001,2.151659
0.1530001,2.150854
0.1540001,2.153271
0.1550001,2.163744
0.1560001,2.163744
0.1570001,2.16455
0.1580001,2.170995
0.1590001,2.171801
0.1600001,2.183081
0.1610001,2.183081
0.1620002,2.191943
0.1630002,2.196777
0.1640002,2.2
0.1650002,2.213696
0.1660002,2.212085
0.1670002,2.212891
0.1680002,2.217725
0.1690002,2.201611
0.1700002,2.209668
0.1710002,2.230616
0.1720002,2.237867
0.1730002,2.233033
0.1740002,2.238672
0.1750002,2.241089
0.1760002,2.219336
0.1770002,2.214502
0.1780002,2.187915
0.1790002,2.201611
0.1800002,2.258814
0.1810002,2.19436
0.1820002,2.195166
0.1830002,2.2
0.1840002,2.258814
0.1850002,2.22981
0.1860002,2.196777
0.1870002,2.215308
0.1880002,2.216114
0.1890002,2.216919
0.1900002,2.225782
0.1910002,2.249952
0.1920002,2.266065
0.1930002,2.220142
0.1940002,2.224976
0.1950002,2.22981
0.1960002,2.233838
0.1970002,2.233033
0.1980002,2.241089
0.1990002,2.238672
0.2000002,2.244312
0.2010002,2.243506
0.2020002,2.242701
0.2030002,1.81398
0.2040002,2.25962
0.2050002,2.266065
0.2060002,2.267677
0.2070002,2.27095
0.2080002,2.280618
0.2090003,2.366825
0.2100003,2.27095
0.2110003,2.369242
0.2120003,1.854264
0.2130002,2.548959
0.2140002,2.222559
0.2150002,2.368437
0.2160003,2.337821
0.2170003,2.217725
0.2180003,2.36602
0.2190003,2.321707
0.2200003,2.362797
0.2210003,2.301565
0.2220003,2.350712
0.2230003,2.473175
0.2240003,2.444976
0.2250003,2.499812
0.2260003,2.367631
0.2270003,2.109764
0.2280003,2.272561
0.2290003,2.385356
0.2300003,1.909906
0.2310003,1.900238
0.2320003,1.897015
0.2330003,2.418389
0.2340003,2.379716
0.2350003,2.347489
0.2360003,2.340238
0.2370003,2.476448
0.2380003,2.192749
0.2390003,2.359574
0.2400003,2.379716
0.2410003,2.314456
0.2420003,2.370048
0.2430003,2.430474
0.2440003,2.370048
0.2450003,2.448199
0.2460003,2.237867
0.2470003,2.148437
0.2480003,1.901849
0.2490003,2.428057
0.2500003,2.353935
0.2510003,2.362797
0.2520003,2.362797
0.2530003,2.385356
0.2540003,2.406303
0.2550003,2.381327
0.2560003,2.370048
0.2570002,2.380522
0.2580002,2.395024
0.2590002,2.399858
0.2600002,2.381327
0.2610002,2.392607
0.2620002,2.444976
0.2630002,2.525594
0.2640002,2.382939
0.2650001,2.415972
0.2660001,1.919574
0.2670001,2.40872
0.2680001,2.449004
0.2690001,2.453033
0.2700001,2.237061
0.2710001,2.381327
0.2720001,2.426445
0.273,2.378911
0.274,2.416777
0.275,2.418389
0.276,2.494173
0.277,2.369242
0.278,2.517537
0.2789999,2.547347
0.2799999,2.418389
0.2809999,2.428862
0.2819999,2.378911
0.2829999,2.382939
0.2839999,2.385356
0.2849999,2.378911
0.2859999,2.382133
0.2869998,2.378911
0.2879998,2.382133
0.2889998,2.380522
0.2899998,2.381327
0.2909998,2.378911
0.2919998,2.39019
0.2929998,2.374882
0.2939998,2.378911
0.2949997,2.381327
0.2959997,2.382133
0.2969997,2.382133
0.2979997,2.386162
0.2989997,2.377299
