TIEMPO,VOLTAJE
0,1.092749
0.001,1.087915
0.002,1.086303
0.003,1.087109
0.004,1.087109
0.005,1.098389
0.006000001,1.084692
0.007,1.09436
0.008000001,1.112085
0.009,1.092749
0.01,1.092749
0.011,1.091138
0.012,1.097583
0.013,1.096777
0.014,1.167677
0.015,1.085498
0.016,1.082275
0.017,1.087915
0.018,1.085498
0.019,1.081469
0.02,1.085498
0.021,1.084692
0.022,1.079052
0.023,1.077441
0.024,1.070996
0.025,1.083886
0.026,1.078247
0.027,1.066967
0.028,1.091138
0.029,1.082275
0.03,1.079052
0.031,1.087915
0.032,1.086303
0.033,1.087109
0.034,1.074218
0.035,1.085498
0.03599999,1.077441
0.03699999,1.077441
0.03799999,1.072607
0.03899999,1.072607
0.03999999,1.080664
0.04099998,1.079858
0.04199998,1.073413
0.04299998,1.086303
0.04399998,1.087109
0.04499998,1.078247
0.04599998,1.08872
0.04699997,1.037963
0.04799997,1.080664
0.04899997,1.079858
0.04999997,1.087109
0.05099997,1.089526
0.05199997,1.087915
0.05299997,1.090332
0.05399997,1.12417
0.05499996,1.078247
0.05599996,1.086303
0.05699996,1.104834
0.05799995,1.091943
0.05899996,1.091943
0.05999995,1.090332
0.06099996,1.093555
0.06199995,1.091138
0.06299995,1.100806
0.06399995,1.099194
0.06499995,1.093555
0.06599996,1.091943
0.06699996,1.109668
0.06799996,1.111279
0.06899996,1.106445
0.06999996,1.142701
0.07099997,1.111279
0.07199997,1.104834
0.07299996,1.104028
0.07399997,1.106445
0.07499998,1.112891
0.07599998,1.113696
0.07699997,1.120948
0.07799998,1.104834
0.07899999,1.126587
0.07999998,1.124976
0.08099998,1.131421
0.08199999,1.116114
0.08299999,1.12981
0.084,1.129004
0.08499999,1.120142
0.08599999,1.132227
0.087,1.134644
0.088,1.139478
0.089,1.131421
0.09,1.13545
0.091,1.132227
0.09200001,1.126587
0.09300001,1.161231
0.09400002,1.145118
0.09500002,1.138672
0.09600001,1.137867
0.09700002,1.144312
0.09800002,1.147535
0.09900002,1.141895
0.1,1.154786
0.101,1.143507
0.102,1.148341
0.103,1.151563
0.104,1.161231
0.105,1.191041
0.106,1.164454
0.107,1.151563
0.108,1.149952
0.109,1.168482
0.11,1.162843
0.111,1.170094
0.112,1.172511
0.113,1.176539
0.1140001,1.193458
0.1150001,1.172511
0.1160001,1.182179
0.1170001,1.216017
0.1180001,1.174928
0.1190001,1.181373
0.1200001,1.232937
0.1210001,1.175734
0.1220001,1.19507
0.1230001,1.181373
0.1240001,1.194264
0.1250001,1.19507
0.1260001,1.202321
0.1270001,1.192653
0.1280001,1.240238
0.1290001,1.210378
0.1300001,1.208766
0.1310001,1.216017
0.1320001,1.205544
0.1330001,1.257963
0.1340001,1.207155
0.1350001,1.259574
0.1360001,1.234548
0.1370001,1.232937
0.1380001,1.26038
0.1390001,1.215212
0.1400001,1.226491
0.1410001,1.225685
0.1420001,1.244266
0.1430001,1.232937
0.1440001,1.287773
0.1450001,1.274882
0.1460001,1.236965
0.1470001,1.238627
0.1480001,1.236965
0.1490001,1.241044
0.1500001,1.261991
0.1510001,1.286162
0.1520001,1.303081
0.1530001,1.251517
0.1540001,1.240238
0.1550001,1.265214
0.1560001,1.271659
0.1570001,1.276493
