TIEMPO,VOLTAJE
0.2630002,3.078388
0.2640002,3.08564
0.2650001,3.130808
0.2660001,3.134836
0.2670001,3.121945
0.2680001,2.953509
0.2690001,3.105026
0.2700001,3.106637
0.2710001,3.110666
0.2720001,3.108249
0.273,3.110666
0.274,3.114694
0.275,3.107443
0.276,3.112277
0.277,3.174314
0.278,3.105026
0.2789999,3.102609
0.2799999,3.042939
0.2809999,3.131613
0.2819999,3.173509
0.2829999,3.135642
0.2839999,3.17512
0.2849999,3.221044
0.2859999,3.073555
0.2869998,2.491755
0.2879998,2.376493
0.2889998,3.202513
0.2899998,3.136448
0.2909998,3.142087
0.2919998,3.138865
0.2929998,3.131613
0.2939998,3.279052
0.2949997,3.134031
0.2959997,3.136448
0.2969997,2.793129
0.2979997,2.986542
0.2989997,3.001044
0.2999997,2.797963
0.3009997,2.911613
0.3019997,3.083223
0.3029996,2.847109
0.3039996,3.117917
0.3049996,2.386967
0.3059996,3.268579
0.3069996,2.860806
0.3079996,3.036493
0.3089996,2.887393
0.3099996,2.674644
0.3109995,2.351517
0.3119995,2.933367
0.3129995,2.99621
0.3139995,3.239574
0.3149995,2.947869
0.3159995,3.125168
0.3169995,2.379716
0.3179995,3.272607
0.3189994,3.163841
0.3199994,3.221849
0.3209994,3.090474
0.3219994,2.379716
0.3229994,2.386967
0.3239994,2.868862
0.3249994,3.28872
0.3259994,3.239574
0.3269993,3.140476
0.3279993,2.756873
0.3289993,3.129196
0.3299993,2.399858
0.3309993,2.374882
0.3319993,3.221044
0.3329993,2.963177
0.3339993,2.896306
0.3349992,2.411138
0.3359992,3.161424
0.3369992,3.27019
0.3379992,3.249242
0.3389992,3.046161
0.3399992,3.16948
0.3409992,3.3
0.3419991,2.897917
0.3429991,3.138059
0.3439991,2.632749
0.3449991,3.196068
0.3459991,2.499812
0.3469991,3.178343
0.3479991,2.855972
0.348999,2.851137
0.349999,3.202513
0.350999,2.855972
0.351999,3.146116
0.352999,3.148533
0.353999,3.142893
0.354999,3.146116
0.355999,3.143699
0.3569989,3.140476
0.3579989,3.138865
0.3589989,3.153367
0.3599989,3.146116
0.3609989,3.160618
0.3619989,3.16948
0.3629989,3.155784
0.3639989,3.154172
0.3649988,3.163035
0.3659988,3.150144
0.3669988,2.947869
0.3679988,2.588437
0.3689988,3.147727
0.3699988,3.134836
0.3709988,3.138865
0.3719988,3.146116
0.3729987,3.146116
0.3739987,3.143699
0.3749987,3.146921
0.3759987,3.144504
0.3769987,3.142893
0.3779987,3.150144
0.3789987,3.150144
0.3799987,3.143699
0.3809986,3.15095
0.3819986,3.150144
0.3829986,3.146116
0.3839986,3.142893
0.3849986,3.150144
0.3859986,3.149338
0.3869986,3.144504
0.3879986,3.147727
0.3889985,3.143699
0.3899985,3.143699
0.3909985,3.15095
0.3919985,3.146921
0.3929985,3.146116
0.3939985,3.155784
0.3949985,3.142893
0.3959985,3.146116
0.3969984,3.146116
0.3979984,3.142893
0.3989984,3.144504
0.3999984,3.147727
