TIEMPO,VOLTAJE
0,0.5632685
0.001,0.5552117
0.002,0.547155
0.003,0.6978668
0.004,0.6712794
0.005,0.6865873
0.006000001,0.6801419
0.007,0.6664454
0.008000001,0.6954497
0.009,0.6656397
0.01,0.6720851
0.011,0.6728908
0.012,0.6704738
0.013,0.6906157
0.014,0.6785305
0.015,0.6809475
0.016,0.6704738
0.017,0.6728908
0.018,0.6841702
0.019,0.6777248
0.02,0.6841702
0.021,0.6793362
0.022,0.6841702
0.023,0.6970611
0.024,0.5592401
0.025,0.6833646
0.026,0.6914213
0.027,0.7260654
0.028,0.6833646
0.029,0.6833646
0.03,0.6801419
0.031,0.6849759
0.032,0.6745021
0.033,0.6809475
0.034,0.6753078
0.035,0.6793362
0.03599999,0.6728908
0.03699999,0.6793362
0.03799999,0.6833646
0.03899999,0.6769192
0.03999999,0.6857816
0.04099998,0.7035065
0.04199998,0.6793362
0.04299998,0.7373449
0.04399998,0.6769192
0.04499998,0.6817532
0.04599998,0.6793362
0.04699997,0.6817532
0.04799997,0.6745021
0.04899997,0.6753078
0.04999997,0.6793362
0.05099997,0.6777248
0.05199997,0.6769192
0.05299997,0.6728908
0.05399997,0.6745021
0.05499996,0.6817532
0.05599996,0.6728908
0.05699996,0.687393
0.05799995,0.6978668
0.05899996,0.6785305
0.05999995,0.6930327
0.06099996,0.6833646
0.06199995,0.6930327
0.06299995,0.6986725
0.06399995,0.6841702
0.06499995,0.68981
0.06599996,0.6914213
0.06699996,0.6841702
0.06799996,0.6857816
0.06899996,0.6857816
0.06999996,0.687393
0.07099997,0.6962554
0.07199997,0.7010895
0.07299996,0.6938384
0.07399997,0.7099519
0.07499998,0.717203
0.07599998,0.7155917
0.07699997,0.7059236
0.07799998,0.7180087
0.07899999,0.7365393
0.07999998,0.7139803
0.08099998,0.7292881
0.08199999,0.7236485
0.08299999,0.7405676
0.084,0.7300939
0.08499999,0.7317052
0.08599999,0.7244541
0.087,0.7236485
0.088,0.7502357
0.089,0.7268711
0.09,0.7397619
0.091,0.744596
0.09200001,0.7462073
0.09300001,0.7558755
0.09400002,0.7631266
0.09500002,0.7558755
0.09600001,0.7534585
0.09700002,0.7574868
0.09800002,0.7590981
0.09900002,0.7631266
0.1,0.7711833
0.101,0.7752117
0.102,0.7631266
0.103,0.7655436
0.104,0.7631266
0.105,0.7760174
0.106,0.771989
0.107,0.7969649
0.108,0.7913252
0.109,0.7889082
0.11,0.7929366
0.111,0.801799
0.112,0.8066331
0.113,0.801799
0.1140001,0.7937422
0.1150001,0.8098557
0.1160001,0.8405218
0.1170001,0.8058273
0.1180001,0.8106614
0.1190001,0.8138842
0.1200001,0.8187181
0.1210001,0.8187181
0.1220001,0.8227466
0.1230001,0.8284367
0.1240001,0.8211352
0.1250001,0.827631
0.1260001,0.8381048
0.1270001,0.8493842
0.1280001,0.8429388
0.1290001,0.8469672
0.1300001,0.8598581
0.1310001,0.8485785
0.1320001,0.8622751
0.1330001,0.7647379
0.1340001,0.8759716
0.1350001,0.8864454
0.1360001,0.88
0.1370001,0.8775829
0.1380001,0.8896681
0.1390001,0.8848341
0.1400001,0.8872511
0.1410001,0.8864454
0.1420001,0.8920852
0.1430001,0.8920852
0.1440001,0.8888624
0.1450001,0.8985306
0.1460001,0.9009476
0.1470001,0.8872511
0.1480001,0.907393
0.1490001,0.9194781
0.1500001,0.9178668
0.1510001,0.9235065
0.1520001,0.9251179
0.1530001,0.9299519
0.1540001,0.9355916
0.1550001,0.9307576
0.1560001,0.9444541
0.1570001,0.9452598
0.1580001,0.9436484
0.1590001,0.9492882
0.1600001,0.9541222
0.1610001,0.9549278
0.1620002,0.9581506
0.1630002,0.9605676
0.1640002,0.9581506
0.1650002,0.9702357
0.1660002,0.9484824
0.1670002,0.9750698
0.1680002,0.964596
0.1690002,0.9517052
0.1700002,0.9315633
0.1710002,0.9750698
0.1720002,0.9839322
0.1730002,0.9944059
0.1740002,0.9259235
0.1750002,0.90981
0.1760002,0.907393
0.1770002,0.9750698
0.1780002,0.967013
0.1790002,0.9347859
0.1800002,0.9299519
0.1810002,0.9557335
0.1820002,0.9500938
0.1830002,0.9517052
0.1840002,0.9347859
0.1850002,0.9412313
0.1860002,0.9460654
0.1870002,0.9565392
0.1880002,0.9517052
0.1890002,0.9565392
0.1900002,0.9573449
0.1910002,0.9629847
0.1920002,0.9565392
0.1930002,0.9847379
0.1940002,1.052465
0.1950002,0.9782925
0.1960002,0.9839322
0.1970002,0.9871549
0.1980002,0.9839322
0.1990002,0.9960174
0.2000002,0.9927946
0.2010002,0.9936003
0.2020002,1.01052
0.2030002,1.038769
0.2040002,1.02341
0.2050002,1.02905
0.2060002,1.055688
0.2070002,1.017771
0.2080002,0.9911833
0.2090003,1.01052
0.2100003,1.041991
0.2110003,1.012937
0.2120003,1.025827
0.2130002,1.027439
0.2140002,1.032323
0.2150002,1.030661
0.2160003,1.04602
0.2170003,1.148341
0.2180003,1.160426
0.2190003,1.185402
0.2200003,1.184596
0.2210003,1.255546
0.2220003,1.119336
0.2230003,1.137867
0.2240003,1.118531
0.2250003,1.048437
0.2260003,1.057299
0.2270003,1.059716
0.2280003,1.068579
0.2290003,1.050854
0.2300003,1.052465
0.2310003,1.056493
0.2320003,1.082275
0.2330003,1.107251
0.2340003,1.083081
0.2350003,1.120142
0.2360003,0.9847379
0.2370003,1.104028
0.2380003,1.104834
0.2390003,1.191041
0.2400003,1.060522
0.2410003,1.104028
0.2420003,1.12417
0.2430003,1.078247
0.2440003,1.085498
0.2450003,1.091943
0.2460003,1.070996
0.2470003,1.075024
0.2480003,1.079858
0.2490003,1.073413
0.2500003,1.079052
0.2510003,1.083081
0.2520003,1.074218
0.2530003,1.070996
0.2540003,1.087915
0.2550003,1.091943
0.2560003,1.216823
0.2570002,1.106445
0.2580002,1.095972
0.2590002,1.108057
0.2600002,1.109668
0.2610002,1.102417
0.2620002,1.090332
0.2630002,1.112891
0.2640002,1.100806
0.2650001,1.098389
0.2660001,1.090332
0.2670001,1.098389
0.2680001,1.109668
0.2690001,1.108862
0.2700001,1.115308
0.2710001,1.112891
0.2720001,1.130616
0.273,1.104834
0.274,1.097583
0.275,1.21924
0.276,1.134644
0.277,1.145923
0.278,1.217629
0.2789999,1.197487
0.2799999,1.141089
0.2809999,1.115308
0.2819999,1.238627
0.2829999,1.086303
0.2839999,1.083886
0.2849999,1.09436
0.2859999,1.102417
0.2869998,1.220851
0.2879998,1.038769
0.2889998,1.199904
0.2899998,1.1709
0.2909998,1.121753
0.2919998,1.102417
0.2929998,1.10564
0.2939998,1.137061
0.2949997,1.079858
0.2959997,1.110474
0.2969997,1.109668
0.2979997,1.120142
0.2989997,1.133838
0.2999997,1.108057
0.3009997,1.099194
0.3019997,1.180568
0.3029996,1.087915
0.3039996,1.089526
0.3049996,1.087109
0.3059996,1.090332
0.3069996,1.087109
0.3079996,1.095972
0.3089996,1.085498
0.3099996,1.091943
0.3109995,1.096777
