145.827,105.151,2.63355,0.827631,152.293,112.974
136.596,134.488,2.43128,0.368244,138.262,144.839
108.335,91.0852,2.01948,1.06455,109.698,96.5399
145.827,105.151,2.6255,0.852607,151.734,111.241
145.827,105.151,2.61986,0.851801,151.343,111.297
136.596,134.488,2.47398,0.373884,141.224,144.447
108.335,91.0852,2.01625,1.0573,109.474,97.0429
145.827,105.151,2.61744,0.863886,151.175,110.459
145.827,105.151,2.61502,0.849384,151.007,111.465
136.596,134.488,2.47564,0.359382,141.339,145.453
108.335,91.0852,2.02592,1.06133,110.145,96.7635
145.827,105.151,2.66256,0.857441,154.305,110.906
145.827,105.151,2.63839,0.835687,152.628,112.415
136.596,134.488,2.47725,0.37469,141.451,144.391
108.335,91.0852,2.02592,1.06374,110.145,96.5958
145.827,105.151,2.62389,0.845356,151.622,111.744
145.827,105.151,2.62711,0.846967,151.846,111.632
